number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,system_attrs_nsga2:generation,state
34,0.5172100272762696,2022-11-20 16:47:20.315604,2022-11-20 16:47:30.485431,0 days 00:00:10.169827,0.08231523730907073,20,3,2,9,11.0,,Adam,1,PRUNED
35,0.5843616054032992,2022-11-20 16:47:30.486582,2022-11-20 16:47:46.635934,0 days 00:00:16.149352,0.08020546544063824,8,5,2,6,9.0,,RMSprop,1,PRUNED
36,0.4210287050266268,2022-11-20 16:47:46.636723,2022-11-20 16:48:01.586220,0 days 00:00:14.949497,0.06057796267882968,13,5,3,6,5.0,8.0,AdamW,1,PRUNED
37,0.6120924795427978,2022-11-20 16:48:01.587043,2022-11-20 16:48:10.645328,0 days 00:00:09.058285,0.01706538654364629,18,4,1,18,,,RMSprop,1,PRUNED
38,0.5852058708923237,2022-11-20 16:48:10.646319,2022-11-20 16:48:20.279018,0 days 00:00:09.632699,0.08020546544063824,20,4,2,6,18.0,,RMSprop,1,PRUNED
39,0.6102740615664372,2022-11-20 16:48:20.279838,2022-11-20 16:48:28.792137,0 days 00:00:08.512299,0.0685074652268822,24,6,1,12,,,Adam,1,PRUNED
40,0.5851409273931679,2022-11-20 16:48:28.792946,2022-11-20 16:48:45.196541,0 days 00:00:16.403595,0.08020546544063824,8,5,2,6,4.0,,RMSprop,1,PRUNED
41,0.602740615664372,2022-11-20 16:48:45.197366,2022-11-20 16:48:54.866660,0 days 00:00:09.669294,0.030382137218665166,25,5,3,6,16.0,9.0,Adam,1,PRUNED
42,0.6109884400571503,2022-11-20 16:48:54.867478,2022-11-20 16:49:03.829748,0 days 00:00:08.962270,0.08231523730907073,20,3,1,16,,,RMSprop,1,PRUNED
43,0.5929341472918561,2022-11-20 16:49:03.830597,2022-11-20 16:49:12.732656,0 days 00:00:08.902059,0.08020546544063824,24,6,1,9,,,AdamW,1,PRUNED
44,0.6493051045590337,2022-11-20 16:49:12.733431,2022-11-20 16:49:48.388304,0 days 00:00:35.654873,0.007104372586604762,20,6,1,12,,,RMSprop,1,COMPLETE
45,0.6660605273412131,2022-11-20 16:49:48.389404,2022-11-20 16:50:13.848523,0 days 00:00:25.459119,0.0049801250479125335,19,4,1,18,,,RMSprop,1,COMPLETE
46,0.619625925444863,2022-11-20 16:50:13.849693,2022-11-20 16:50:25.983905,0 days 00:00:12.134212,0.007104372586604762,25,6,1,9,,,RMSprop,1,PRUNED
47,0.6165735809845434,2022-11-20 16:50:25.984784,2022-11-20 16:50:34.541346,0 days 00:00:08.556562,0.00314650795636893,24,6,1,9,,,AdamW,1,PRUNED
48,0.6078711520976751,2022-11-20 16:50:34.542343,2022-11-20 16:50:43.015782,0 days 00:00:08.473439,0.08231523730907073,24,3,1,12,,,Adam,1,PRUNED
49,0.6394986361865177,2022-11-20 16:50:43.016588,2022-11-20 16:51:02.004755,0 days 00:00:18.988167,0.04602043546553448,32,6,1,12,,,RMSprop,1,PRUNED
