number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
34,0.5936485257825692,2022-11-21 23:32:07.744321,2022-11-21 23:32:16.997543,0 days 00:00:09.253222,0.09633217830312804,22,6,1,9,,,AdamW,PRUNED
35,0.5939082997791921,2022-11-21 23:32:16.998386,2022-11-21 23:32:26.177781,0 days 00:00:09.179395,0.0769147331906734,22,7,1,5,,,AdamW,PRUNED
36,0.6502143135472139,2022-11-21 23:32:26.178579,2022-11-21 23:33:01.488799,0 days 00:00:35.310220,0.08639996084439124,12,4,1,14,,,RMSprop,COMPLETE
37,0.5752695155214963,2022-11-21 23:33:01.489873,2022-11-21 23:33:12.585613,0 days 00:00:11.095740,0.08377787118326495,21,8,3,8,7.0,17.0,Adam,PRUNED
38,0.5433822574360306,2022-11-21 23:33:12.586540,2022-11-21 23:33:22.805772,0 days 00:00:10.219232,0.09074675014883112,21,4,3,15,16.0,15.0,RMSprop,PRUNED
39,0.6065073386154046,2022-11-21 23:33:22.806663,2022-11-21 23:33:35.092158,0 days 00:00:12.285495,0.08412784196689384,32,4,1,7,,,AdamW,PRUNED
40,0.5573451097545136,2022-11-21 23:33:35.093150,2022-11-21 23:33:47.197929,0 days 00:00:12.104779,0.09548924765146276,15,3,2,17,17.0,,Adam,PRUNED
41,0.5678010131185869,2022-11-21 23:33:47.198710,2022-11-21 23:34:00.505843,0 days 00:00:13.307133,0.0952566889708991,11,7,1,17,,,AdamW,PRUNED
42,0.6367060657228212,2022-11-21 23:34:00.506641,2022-11-21 23:34:44.118767,0 days 00:00:43.612126,0.08877848218677362,12,5,1,13,,,RMSprop,COMPLETE
43,0.647746460579296,2022-11-21 23:34:44.119940,2022-11-21 23:35:11.151642,0 days 00:00:27.031702,0.08917513798066,24,5,1,11,,,RMSprop,COMPLETE
44,0.601766463177036,2022-11-21 23:35:11.153038,2022-11-21 23:35:20.388211,0 days 00:00:09.235173,0.09146504077031771,20,8,2,12,13.0,,RMSprop,PRUNED
45,0.613975841018314,2022-11-21 23:35:20.389174,2022-11-21 23:35:34.511687,0 days 00:00:14.122513,0.0908816965280124,24,8,2,17,14.0,,RMSprop,PRUNED
46,0.5823483569294714,2022-11-21 23:35:34.512871,2022-11-21 23:35:44.502687,0 days 00:00:09.989816,0.09878670638495184,21,4,2,11,10.0,,Adam,PRUNED
47,0.6010520846863229,2022-11-21 23:35:44.503595,2022-11-21 23:36:08.386012,0 days 00:00:23.882417,0.07956810897053188,10,5,1,11,,,Adam,PRUNED
48,0.6755422782179504,2022-11-21 23:36:08.386881,2022-11-21 23:36:44.569575,0 days 00:00:36.182694,0.0867276850663872,30,8,1,18,,,RMSprop,COMPLETE
49,0.658527081439148,2022-11-21 23:36:44.570793,2022-11-21 23:37:12.782382,0 days 00:00:28.211589,0.0802097079236809,25,5,1,18,,,Adam,COMPLETE
