number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
34,0.6028705026626835,2022-11-20 16:01:50.319784,2022-11-20 16:02:03.459844,0 days 00:00:13.140060,0.00026650716094507555,16,8,3,13,8.0,15.0,Adam,PRUNED
35,0.594427847772438,2022-11-20 16:02:03.461122,2022-11-20 16:02:13.904877,0 days 00:00:10.443755,0.06918028262743595,21,7,2,15,6.0,,Adam,PRUNED
36,0.6549551889855826,2022-11-20 16:02:13.905943,2022-11-20 16:03:00.055722,0 days 00:00:46.149779,0.0073472569879783,24,8,3,12,5.0,17.0,AdamW,PRUNED
37,0.6327445122743214,2022-11-20 16:03:00.056658,2022-11-20 16:03:27.111537,0 days 00:00:27.054879,0.014097315510129448,18,3,2,17,9.0,,Adam,COMPLETE
38,0.5669567476295623,2022-11-20 16:03:27.112959,2022-11-20 16:03:39.153853,0 days 00:00:12.040894,0.041933524598313406,12,6,1,10,,,Adam,PRUNED
39,0.6250162358747889,2022-11-20 16:03:39.154732,2022-11-20 16:03:55.342586,0 days 00:00:16.187854,0.005624746939422347,28,5,3,8,4.0,18.0,AdamW,PRUNED
40,0.6080659825951422,2022-11-20 16:03:55.343561,2022-11-20 16:04:06.269891,0 days 00:00:10.926330,0.01980183299739457,15,4,2,14,12.0,,RMSprop,PRUNED
41,0.662423691388492,2022-11-20 16:04:06.271184,2022-11-20 16:05:03.652134,0 days 00:00:57.380950,0.00865412246199005,21,7,3,15,4.0,16.0,Adam,COMPLETE
42,0.6272243148460839,2022-11-20 16:05:03.653450,2022-11-20 16:05:22.861158,0 days 00:00:19.207708,0.012952272860753554,20,7,3,16,6.0,15.0,Adam,PRUNED
43,0.6530718275100662,2022-11-20 16:05:22.862041,2022-11-20 16:06:09.219852,0 days 00:00:46.357811,0.005354458020925079,23,7,3,13,4.0,16.0,Adam,PRUNED
44,0.6298220548123132,2022-11-20 16:06:09.221096,2022-11-20 16:06:29.273460,0 days 00:00:20.052364,0.011549927308200637,19,8,3,17,5.0,17.0,Adam,PRUNED
45,0.5581893752435382,2022-11-20 16:06:29.274303,2022-11-20 16:06:40.417089,0 days 00:00:11.142786,0.09924028657858719,21,8,3,15,7.0,13.0,Adam,PRUNED
46,0.5818937524353812,2022-11-20 16:06:40.418157,2022-11-20 16:06:53.005749,0 days 00:00:12.587592,0.06243054133106686,17,6,3,15,4.0,17.0,Adam,PRUNED
47,0.607611378101052,2022-11-20 16:06:53.006791,2022-11-20 16:07:03.663387,0 days 00:00:10.656596,0.00048017562416288913,23,7,3,14,8.0,16.0,AdamW,PRUNED
48,0.6569034939602546,2022-11-20 16:07:03.664508,2022-11-20 16:07:48.663929,0 days 00:00:44.999421,0.005259917524665328,17,7,1,12,,,Adam,PRUNED
49,0.5977399662293804,2022-11-20 16:07:48.664955,2022-11-20 16:07:58.885904,0 days 00:00:10.220949,0.02233253179987531,25,6,3,11,6.0,18.0,Adam,PRUNED
