number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
35,0.5454604494090142,2022-11-24 18:20:14.743459,2022-11-24 18:20:29.428098,0 days 00:00:14.684639,0.04059622746353383,15,5,3,5,5.0,12.0,AdamW,PRUNED
36,0.5952721132614626,2022-11-24 18:20:29.429005,2022-11-24 18:20:42.639989,0 days 00:00:13.210984,0.08257221658120265,12,8,2,14,14.0,,RMSprop,PRUNED
37,0.4941550850759839,2022-11-24 18:20:42.640861,2022-11-24 18:20:56.687218,0 days 00:00:14.046357,0.08633416161482711,13,3,3,12,15.0,12.0,RMSprop,PRUNED
38,0.6153396545005845,2022-11-24 18:20:56.688061,2022-11-24 18:21:34.300070,0 days 00:00:37.612009,0.0025556073185762232,9,5,3,4,8.0,10.0,Adam,PRUNED
39,0.5694895440966359,2022-11-24 18:21:34.300981,2022-11-24 18:21:45.320590,0 days 00:00:11.019609,0.049301739485312676,24,6,3,5,16.0,9.0,Adam,PRUNED
40,0.5914404468112742,2022-11-24 18:21:45.321527,2022-11-24 18:21:56.291106,0 days 00:00:10.969579,0.09707401237540463,16,8,1,5,,,Adam,PRUNED
41,0.5487076243668009,2022-11-24 18:21:56.292136,2022-11-24 18:22:04.568792,0 days 00:00:08.276656,0.09989510147484092,27,8,1,9,,,RMSprop,PRUNED
42,0.6081958695934537,2022-11-24 18:22:04.569636,2022-11-24 18:22:14.062646,0 days 00:00:09.493010,0.055698996341901647,27,8,2,12,12.0,,Adam,PRUNED
43,0.6074814911027406,2022-11-24 18:22:14.063681,2022-11-24 18:22:24.853637,0 days 00:00:10.789956,0.08722004888443079,14,7,1,9,,,RMSprop,PRUNED
44,0.6075464346018964,2022-11-24 18:22:24.854499,2022-11-24 18:22:39.304203,0 days 00:00:14.449704,0.03367044786027592,14,8,2,13,11.0,,AdamW,PRUNED
45,0.5620859851928822,2022-11-24 18:22:39.305412,2022-11-24 18:22:48.630233,0 days 00:00:09.324821,0.042571879456490644,25,4,1,15,,,AdamW,PRUNED
46,0.5975451357319133,2022-11-24 18:22:48.631184,2022-11-24 18:22:58.417180,0 days 00:00:09.785996,0.09053564610905368,26,4,2,13,14.0,,Adam,PRUNED
47,0.5860501363813482,2022-11-24 18:22:58.418096,2022-11-24 18:23:06.408217,0 days 00:00:07.990121,0.05093372234923803,28,5,1,12,,,RMSprop,PRUNED
48,0.5425379919470061,2022-11-24 18:23:06.409190,2022-11-24 18:23:15.349411,0 days 00:00:08.940221,0.06411277106002337,32,3,2,12,10.0,,Adam,PRUNED
49,0.5881283283543317,2022-11-24 18:23:15.350241,2022-11-24 18:23:33.545086,0 days 00:00:18.194845,0.014124582582166222,9,3,2,4,18.0,,AdamW,PRUNED
